feature,description
perplexity,"ESM-IF inverse folding perplexity — how ""surprised"" the structure-conditioned language model is by the sequence. Lower = sequence fits structure better."
avg_log_likelihood,ESM-IF mean log-likelihood per residue. Higher (less negative) = better sequence-structure compatibility.
molecular_weight,Total molecular weight in Daltons.
aromaticity,"Fraction of aromatic residues (Phe, Trp, Tyr)."
instability_index,Guruprasad instability index. >40 = predicted unstable in vitro.
isoelectric_point,Theoretical pI — pH at which net charge is zero.
helix,Fraction of residues in alpha-helix (DSSP secondary structure).
turn,Fraction of residues in turns.
sheet,Fraction of residues in beta-sheet/strand.
gravy,"Grand Average of Hydropathy (Kyte-Doolittle). Positive = hydrophobic, negative = hydrophilic."
arginine_r_charge,Count of positively charged Arg residues.
lysine_k_charge,Count of positively charged Lys residues.
aspartate_d_charge,Count of negatively charged Asp residues.
glutamate_e_charge,Count of negatively charged Glu residues.
native_net_charge,Net charge at pH 7.0 (positive charges minus negative charges).
t40_raw,Predicted fraction of residues retaining structure at 40C.
t45_raw,Predicted fraction retaining structure at 45C.
t50_raw,Predicted fraction retaining structure at 50C.
t55_raw,Predicted fraction retaining structure at 55C.
t60_raw,Predicted fraction retaining structure at 60C.
t65_raw,Predicted fraction retaining structure at 65C.
t70_raw,Predicted fraction retaining structure at 70C.
t75_raw,Predicted fraction retaining structure at 75C.
t80_raw,Predicted fraction retaining structure at 80C.
thermophilicity_num,"Predicted thermophilicity class: 0=mesophilic, 1=undetermined, 2=thermophilic, 3=hyperthermophilic."
clash_binary,"Whether the predicted structure has steric clashes (1=yes, 0=no)."
triad_found_bin,"Whether the conserved catalytic Asp triad (YXDD motif) was found (1=yes, 0=no)."
D1_D2_dist,Distance (Angstroms) between 1st and 2nd catalytic Asp residues.
D2_D3_dist,Distance (Angstroms) between 2nd and 3rd catalytic Asp residues.
triad_best_rmsd,RMSD (Angstroms) of the best-fit Asp triad geometry vs reference HIV-RT. Lower = more similar to known active RT.
n_hydrophobic_contacts,Total hydrophobic contacts in structure.
n_salt_bridges,Total salt bridges.
n_hbonds,Total hydrogen bonds.
hydrophobic_per_res,Hydrophobic contacts per residue.
salt_per_res,Salt bridges per residue.
